var,contribution,year
year,0,2000
quarter,378833,2000
paylvl,323559,2000
agency,912919,2000
duty_sta,81006,2000
age,1280350,2000
loslvl,998781,2000
occ,915729,2000
grade,350684,2000
cbsa,17,2000
educ_c,1238210,2000
tenure,9232,2000
posting_length,7638,2000
tenure_occ,55491,2000
qoq_earn_change_lvl,203982,2000
loc,0,2000
occ_cat,200,2000
pay_plan,44646,2000
appoint,89433,2000
schedule,62238,2000
year,0,2001
quarter,396772,2001
paylvl,319628,2001
agency,783882,2001
duty_sta,70519,2001
age,1189467,2001
loslvl,893666,2001
occ,789733,2001
grade,320419,2001
cbsa,10,2001
educ_c,1136083,2001
tenure,21861,2001
posting_length,18896,2001
tenure_occ,121522,2001
qoq_earn_change_lvl,196513,2001
loc,0,2001
occ_cat,97,2001
pay_plan,37599,2001
appoint,70581,2001
schedule,58756,2001
year,0,2002
quarter,415434,2002
paylvl,313248,2002
agency,688010,2002
duty_sta,62874,2002
age,1147770,2002
loslvl,842833,2002
occ,688824,2002
grade,293356,2002
cbsa,7,2002
educ_c,1067679,2002
tenure,29523,2002
posting_length,29745,2002
tenure_occ,171311,2002
qoq_earn_change_lvl,162629,2002
loc,0,2002
occ_cat,51,2002
pay_plan,33130,2002
appoint,59653,2002
schedule,54900,2002
year,0,2003
quarter,420526,2003
paylvl,312552,2003
agency,563200,2003
duty_sta,57119,2003
age,1117359,2003
loslvl,799067,2003
occ,598344,2003
grade,268929,2003
cbsa,25,2003
educ_c,1006008,2003
tenure,34295,2003
posting_length,43495,2003
tenure_occ,214069,2003
qoq_earn_change_lvl,117056,2003
loc,0,2003
occ_cat,31,2003
pay_plan,27587,2003
appoint,57320,2003
schedule,52812,2003
year,0,2004
quarter,430758,2004
paylvl,316800,2004
agency,453501,2004
duty_sta,54046,2004
age,1085042,2004
loslvl,747557,2004
occ,540155,2004
grade,247576,2004
cbsa,14,2004
educ_c,946726,2004
tenure,41939,2004
posting_length,55767,2004
tenure_occ,242823,2004
qoq_earn_change_lvl,109278,2004
loc,0,2004
occ_cat,12,2004
pay_plan,24461,2004
appoint,53604,2004
schedule,52286,2004
year,0,2005
quarter,430553,2005
paylvl,304874,2005
agency,406176,2005
duty_sta,50581,2005
age,1040688,2005
loslvl,693898,2005
occ,494969,2005
grade,223678,2005
cbsa,0,2005
educ_c,891334,2005
tenure,45595,2005
posting_length,63804,2005
tenure_occ,260882,2005
qoq_earn_change_lvl,79330,2005
loc,0,2005
occ_cat,4,2005
pay_plan,22121,2005
appoint,52507,2005
schedule,48138,2005
year,0,2006
quarter,436790,2006
paylvl,312869,2006
agency,353925,2006
duty_sta,46183,2006
age,966178,2006
loslvl,630716,2006
occ,453583,2006
grade,209744,2006
cbsa,0,2006
educ_c,842786,2006
tenure,47335,2006
posting_length,65972,2006
tenure_occ,261543,2006
qoq_earn_change_lvl,73240,2006
loc,0,2006
occ_cat,532,2006
pay_plan,21874,2006
appoint,48542,2006
schedule,41373,2006
year,0,2007
quarter,446832,2007
paylvl,314275,2007
agency,290268,2007
duty_sta,40257,2007
age,932809,2007
loslvl,594356,2007
occ,402078,2007
grade,191081,2007
cbsa,0,2007
educ_c,803853,2007
tenure,46221,2007
posting_length,72736,2007
tenure_occ,258098,2007
qoq_earn_change_lvl,65346,2007
loc,0,2007
occ_cat,796,2007
pay_plan,22541,2007
appoint,45565,2007
schedule,39166,2007
year,0,2008
quarter,481058,2008
paylvl,333531,2008
agency,267848,2008
duty_sta,38033,2008
age,940745,2008
loslvl,562843,2008
occ,369618,2008
grade,180743,2008
cbsa,0,2008
educ_c,788493,2008
tenure,43592,2008
posting_length,78051,2008
tenure_occ,254302,2008
qoq_earn_change_lvl,64574,2008
loc,0,2008
occ_cat,1035,2008
pay_plan,24201,2008
appoint,47295,2008
schedule,41489,2008
year,0,2009
quarter,515685,2009
paylvl,354960,2009
agency,265624,2009
duty_sta,38520,2009
age,978756,2009
loslvl,543639,2009
occ,362258,2009
grade,182311,2009
cbsa,0,2009
educ_c,792721,2009
tenure,44273,2009
posting_length,84832,2009
tenure_occ,257825,2009
qoq_earn_change_lvl,61187,2009
loc,0,2009
occ_cat,1705,2009
pay_plan,23980,2009
appoint,53046,2009
schedule,41915,2009
year,0,2010
quarter,519948,2010
paylvl,348378,2010
agency,275606,2010
duty_sta,36907,2010
age,991380,2010
loslvl,505410,2010
occ,369314,2010
grade,181272,2010
cbsa,0,2010
educ_c,794076,2010
tenure,46681,2010
posting_length,89327,2010
tenure_occ,266176,2010
qoq_earn_change_lvl,53027,2010
loc,0,2010
occ_cat,2587,2010
pay_plan,18569,2010
appoint,53700,2010
schedule,40190,2010
year,0,2011
quarter,541543,2011
paylvl,342031,2011
agency,301127,2011
duty_sta,35162,2011
age,1005118,2011
loslvl,446141,2011
occ,377166,2011
grade,181121,2011
cbsa,0,2011
educ_c,788776,2011
tenure,48347,2011
posting_length,94657,2011
tenure_occ,269554,2011
qoq_earn_change_lvl,51426,2011
loc,0,2011
occ_cat,2831,2011
pay_plan,14656,2011
appoint,50154,2011
schedule,37287,2011
year,0,2012
quarter,532735,2012
paylvl,328643,2012
agency,287417,2012
duty_sta,30714,2012
age,984548,2012
loslvl,411678,2012
occ,362186,2012
grade,173655,2012
cbsa,0,2012
educ_c,762988,2012
tenure,48902,2012
posting_length,98949,2012
tenure_occ,264470,2012
qoq_earn_change_lvl,48901,2012
loc,0,2012
occ_cat,3095,2012
pay_plan,13475,2012
appoint,45210,2012
schedule,37203,2012
